Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
UserLogin,16220,1087,169,3783,608.11,0.00%,7.0,6.41,943.5
VendorLogin,892,1264,171,3040,566.72,0.00%,.5,0.51,1083.1
BusinessList,2784,1240,173,3243,525.68,0.00%,1.2,2.91,2498.8
ListCategory,304,1239,172,2347,559.52,0.00%,.2,0.17,1085.6
GetCatagory,302,1243,172,2790,563.54,0.00%,.2,0.10,652.1
VendorSearch,2768,1250,173,3570,527.04,0.00%,1.2,1.43,1225.3
ProductList,302,2023,1023,3966,529.30,0.00%,.2,6.94,43265.6
GetVendorDetails,2762,1247,172,3416,516.03,0.00%,1.2,1.26,1083.0
GetProduct,301,1249,172,2014,562.97,0.00%,.2,0.17,1041.2
GetVendorLocation,2757,1237,172,2954,506.97,0.00%,1.2,0.79,673.7
VendorProducts,2745,2003,173,4142,478.54,0.00%,1.2,49.73,42783.9
SetFollow,5375,1280,171,3274,497.52,0.00%,2.3,1.42,618.9
OrderList,297,10010,171,72830,11088.24,0.00%,.2,65.34,411464.9
VendorFollowList,2714,1261,173,3540,505.14,0.00%,1.2,1.60,1381.6
OrderStatus,293,1351,173,4886,648.95,0.00%,.2,0.10,619.0
SalesCount,292,1296,171,2652,577.13,0.00%,.2,0.10,644.9
LeadsCount,290,213,170,1974,220.07,0.00%,.2,0.10,624.1
Leads,290,264,170,1802,325.32,0.00%,.2,0.14,899.3
VendorList,2703,1964,175,4561,891.23,0.00%,1.2,46.25,39925.4
RatingList,2690,2201,1161,4213,454.86,0.00%,1.2,61.34,53191.8
AddRating,2678,1283,173,3289,495.49,0.00%,1.2,0.71,614.7
Add/EditOffer,862,1307,178,2831,529.26,0.00%,.5,0.29,616.0
RemoveFollow,5312,883,170,3253,664.65,0.00%,2.4,1.47,639.6
VendorProvidingOffers,2655,1706,174,4412,470.83,0.00%,1.2,39.51,34234.5
ListOffers,2654,1551,340,3977,287.27,0.00%,1.2,60.29,52263.5
ClaimOffer,2648,1385,170,7816,581.87,0.00%,1.2,0.72,616.9
ClaimedOffers,2648,379,170,2325,358.82,0.00%,1.2,10.87,9371.7
ApproveOffer,859,1612,275,3979,622.64,0.00%,.5,0.26,556.7
List offer,859,2725,171,5095,615.14,0.00%,.5,32.77,69407.5
SetRange,2642,1288,172,3050,478.46,0.00%,1.2,0.73,630.0
ProductSearch,2632,1392,174,3468,493.11,0.00%,1.2,3.39,2934.8
SaveDeliveryAddress,2625,1295,175,3370,484.74,0.00%,1.2,0.89,770.4
GetDeliveryAddress,2618,1288,172,3490,473.48,0.00%,1.2,0.91,792.5
PlaceOrderWIthAddress,2615,1399,177,7079,554.05,0.00%,1.2,0.73,639.0
TOTAL,81388,1339,169,72830,1082.58,0.00%,34.8,368.04,10822.1
